Metric,Comparison,Test_Type,P_Value,Significant,Cohens_D,Effect_Size,Mean_1s,Mean_2s,Change_Pct,Mean_3s
avg_wait_time,1 vs 2,Welch's t-test,0.0000,True,164732473834645.66,Large,29.61,28.67,-3.2%,
avg_wait_time,1 vs 3,Welch's t-test,0.0000,True,206272774855406.12,Large,29.61,,-5.6%,27.94
avg_wait_time,2 vs 3,Welch's t-test,0.0000,True,78750448000127.28,Large,,28.67,-2.5%,27.94
satisfaction_rate,1 vs 2,Welch's t-test,0.0000,True,1915551437840977.75,Large,21.57,39.22,+81.8%,
satisfaction_rate,1 vs 3,Welch's t-test,0.0000,True,5371814723274544.00,Large,21.57,,+190.9%,62.75
satisfaction_rate,2 vs 3,Welch's t-test,0.0000,True,4604412619949608.00,Large,,39.22,+60.0%,62.75
service_rate,1 vs 2,Welch's t-test,0.0000,True,1915551437840977.75,Large,21.57,39.22,+81.8%,
service_rate,1 vs 3,Welch's t-test,0.0000,True,5371814723274544.00,Large,21.57,,+190.9%,62.75
service_rate,2 vs 3,Welch's t-test,0.0000,True,4604412619949608.00,Large,,39.22,+60.0%,62.75
profit,1 vs 2,Welch's t-test,0.0000,True,8326538935060070.00,Large,-638.00,54.67,+108.6%,
profit,1 vs 3,Welch's t-test,0.0000,True,20522730374481640.00,Large,-638.00,,+263.0%,1040.00
profit,2 vs 3,Welch's t-test,0.0000,True,64272484160474752.00,Large,,54.67,+1802.4%,1040.00
cpu_ms,1 vs 2,Mann-Whitney U,0.0000,True,6.11,Large,0.53,0.71,+33.2%,
cpu_ms,1 vs 3,Mann-Whitney U,0.0000,True,4.47,Large,0.53,,+104.7%,1.09
cpu_ms,2 vs 3,Mann-Whitney U,0.0000,True,3.03,Large,,0.71,+53.7%,1.09
